=============================================================================================================
IsPublic IsSerial Name                                     BaseType                                                                                                                            
-------- -------- ----                                     --------                                                                                                                            
True     False    CycleComposition                         System.Object                                                                                                                       
True     False    ILibraryTypeOrFolderSelection                                                                                                                                                
True     False    LibraryType                              System.Object                                                                                                                       
True     False    FaceplateLibraryType                     Siemens.Engineering.Library.Types.LibraryType                                                                                       
True     False    LibraryTypeVersion                       System.Object                                                                                                                       
True     False    FaceplateLibraryTypeVersion              Siemens.Engineering.Library.Types.LibraryTypeVersion                                                                                
True     False    MultiLingualGraphic                      System.Object                                                                                                                       
True     False    MultiLingualGraphicComposition           System.Object                                                                                                                       
True     False    CScriptLibraryType                       Siemens.Engineering.Library.Types.LibraryType                                                                                       
True     False    CScriptLibraryTypeVersion                Siemens.Engineering.Library.Types.LibraryTypeVersion                                                                                
True     False    VBScript                                 System.Object                                                                                                                       
True     False    VBScriptComposition                      System.Object                                                                                                                       
True     False    VBScriptFolder                           System.Object                                                                                                                       
True     False    VBScriptLibraryType                      Siemens.Engineering.Library.Types.LibraryType                                                                                       
True     False    VBScriptLibraryTypeVersion               Siemens.Engineering.Library.Types.LibraryTypeVersion                                                                                
True     False    ILibraryTypeInstantiationTarget                                                                                                                                              
True     False    VBScriptSystemFolder                     Siemens.Engineering.Hmi.RuntimeScripting.VBScriptFolder                                                                             
True     False    VBScriptUserFolder                       Siemens.Engineering.Hmi.RuntimeScripting.VBScriptFolder                                                                             
True     False    VBScriptUserFolderComposition            System.Object                                                                                                                       
True     False    Screen                                   System.Object                                                                                                                       
True     False    ScreenComposition                        System.Object                                                                                                                       
True     False    ScreenFolder                             System.Object                                                                                                                       
True     False    ScreenGlobalElements                     System.Object                                                                                                                       
True     False    ScreenLibraryType                        Siemens.Engineering.Library.Types.LibraryType                                                                                       
True     False    ScreenLibraryTypeVersion                 Siemens.Engineering.Library.Types.LibraryTypeVersion                                                                                
True     False    ScreenOverview                           System.Object                                                                                                                       
True     False    ScreenPopup                              System.Object                                                                                                                       
True     False    ScreenPopupComposition                   System.Object                                                                                                                       
True     False    ScreenPopupFolder                        System.Object                                                                                                                       
True     False    ScreenPopupSystemFolder                  Siemens.Engineering.Hmi.Screen.ScreenPopupFolder                                                                                    
True     False    ScreenPopupUserFolder                    Siemens.Engineering.Hmi.Screen.ScreenPopupFolder                                                                                    
True     False    ScreenPopupUserFolderComposition         System.Object                                                                                                                       
True     False    ScreenSlidein                            System.Object                                                                                                                       
True     False    ScreenSlideinComposition                 System.Object                                                                                                                       
True     False    ScreenSlideinSystemFolder                System.Object                                                                                                                       
True     False    ScreenSystemFolder                       Siemens.Engineering.Hmi.Screen.ScreenFolder                                                                                         
True     False    ScreenTemplate                           System.Object                                                                                                                       
True     False    ScreenTemplateComposition                System.Object                                                                                                                       
True     False    ScreenTemplateFolder                     System.Object                                                                                                                       
True     False    ScreenTemplateSystemFolder               Siemens.Engineering.Hmi.Screen.ScreenTemplateFolder                                                                                 
True     False    ScreenTemplateUserFolder                 Siemens.Engineering.Hmi.Screen.ScreenTemplateFolder                                                                                 
True     False    ScreenTemplateUserFolderComposition      System.Object                                                                                                                       
True     False    ScreenUserFolder                         Siemens.Engineering.Hmi.Screen.ScreenFolder                                                                                         
True     False    ScreenUserFolderComposition              System.Object                                                                                                                       
True     True     SlideinType                              System.Enum                                                                                                                         
True     False    StyleLibraryType                         Siemens.Engineering.Library.Types.LibraryType                                                                                       
True     False    StyleLibraryTypeVersion                  Siemens.Engineering.Library.Types.LibraryTypeVersion                                                                                
True     False    StyleSheetLibraryType                    Siemens.Engineering.Library.Types.LibraryType                                                                                       
True     False    StyleSheetLibraryTypeVersion             Siemens.Engineering.Library.Types.LibraryTypeVersion                                                                                
True     True     VisibilityModes                          System.Enum                                                                                                                         
True     False    HmiUdtLibraryType                        Siemens.Engineering.Library.Types.LibraryType                                                                                       
True     False    HmiUdtLibraryTypeVersion                 Siemens.Engineering.Library.Types.LibraryTypeVersion                                                                                
True     False    Tag                                      System.Object                                                                                                                       
True     False    TagComposition                           System.Object                                                                                                                       
True     False    TagFolder                                System.Object                                                                                                                       
True     False    TagSystemFolder                          Siemens.Engineering.Hmi.Tag.TagFolder                                                                                               
True     False    TagTable                                 System.Object                                                                                                                       
True     False    TagTableComposition                      System.Object                                                                                                                       
True     False    TagUserFolder                            Siemens.Engineering.Hmi.Tag.TagFolder                                                                                               
True     False    TagUserFolderComposition                 System.Object                                                                                                                       
True     False    GraphicList                              System.Object                                                                                                                       
True     False    GraphicListComposition                   System.Object                                                                                                                       
True     False    TextList                                 System.Object                                                                                                                       
True     False    TextListComposition                      System.Object                                                                                                                       
